aX,aY,aZ,gX,gY,gZ
0.799,0.348,0.510,0.366,0.793,1.770
0.800,0.288,0.527,0.671,-4.089,-4.150
0.802,0.275,0.534,2.991,-2.808,-3.052

0.792,0.324,0.508,-0.793,-0.305,1.160
0.795,0.315,0.529,2.625,-1.526,-0.061
0.790,0.318,0.530,0.122,-2.075,0.488
0.787,0.321,0.514,0.549,0.000,-0.916
0.790,0.284,0.535,0.366,1.221,1.709
0.793,0.316,0.524,1.038,0.305,2.136
0.799,0.337,0.540,1.404,-1.282,-0.671
0.786,0.299,0.526,2.319,-2.563,-1.160
0.797,0.273,0.554,0.793,0.305,1.648
0.811,0.207,0.598,0.427,6.287,9.094
0.830,0.493,0.666,3.845,16.907,11.719
1.075,1.546,0.865,8.301,39.978,-32.593
0.618,1.690,-0.081,13.550,50.781,-186.340
0.702,0.409,-0.133,-71.838,23.865,-209.351
0.539,-0.024,0.105,-57.983,-39.551,-205.566
0.507,-0.685,0.731,-13.855,-111.938,-215.393
0.649,-1.482,1.555,-82.397,-83.252,-124.817
0.580,-1.875,1.600,-60.181,5.127,7.446
0.380,-1.585,1.120,-14.404,63.293,160.461
0.272,-1.276,1.090,19.958,82.764,270.996
-0.028,-0.597,1.019,61.401,144.287,365.967
-0.087,0.235,0.811,61.584,169.800,421.326
-0.287,1.345,0.565,-52.429,156.677,407.410
-0.474,2.042,-0.380,-33.142,204.529,375.854
-0.445,2.233,-1.003,-26.367,139.404,275.940
-0.291,2.604,-0.770,61.462,106.262,55.786
-0.370,2.437,-1.111,83.618,40.161,-98.816
-0.345,2.291,-0.656,-28.320,-73.303,-201.904
-0.195,2.286,-0.052,-101.929,-143.799,-296.509
-0.336,1.473,0.430,-71.655,-171.204,-397.827
-0.335,0.826,0.531,-54.260,-167.786,-487.671
-0.561,-0.306,0.448,-97.229,-193.115,-574.768
-0.005,-1.427,1.099,-156.250,-265.625,-316.467
0.189,-1.305,1.465,-40.894,-189.148,-138.916
0.286,-1.687,1.267,-8.484,-71.106,-106.384
0.268,-1.810,2.024,-77.759,89.355,-28.442
0.619,-1.569,1.301,-24.963,120.178,53.833
0.490,-1.384,1.205,11.169,77.454,187.500
0.517,-0.769,1.285,18.188,107.849,249.145
0.391,-0.189,1.117,4.761,185.364,296.509
0.208,0.082,0.784,32.410,220.520,299.927
-0.047,0.488,0.469,52.307,231.689,317.505
-0.092,1.405,-0.078,41.565,269.226,324.463
-0.307,1.724,-1.138,14.160,198.486,260.498
-0.032,1.338,-0.601,28.137,-4.700,138.428
0.018,2.301,-0.739,26.855,22.461,102.783
-0.019,2.435,-1.342,60.852,0.732,-32.837
0.104,1.622,-0.485,22.217,-110.657,-128.113
0.186,1.704,-0.223,37.842,-121.216,-176.392
0.057,1.483,-0.103,7.629,-137.512,-264.099
-0.059,0.860,0.135,-10.010,-153.870,-317.871
-0.070,0.174,0.263,-33.020,-167.297,-321.167
0.125,0.079,0.826,-33.997,-195.740,-288.025
