aX,aY,aZ,gX,gY,gZ
0.757,0.073,0.658,-0.366,0.916,0.122

0.755,0.062,0.665,0.061,-0.244,0.061
0.761,0.071,0.661,0.122,0.244,0.671
0.758,0.070,0.658,0.366,0.244,-0.122
0.758,0.072,0.648,-0.427,0.854,0.305
0.761,0.072,0.657,0.061,-0.488,0.000
0.756,0.066,0.663,0.244,-0.427,-0.244
0.753,0.063,0.661,0.000,-0.061,-0.061
0.753,0.064,0.655,0.000,0.488,0.427
0.758,0.069,0.657,0.183,0.305,0.732
0.762,0.072,0.660,0.244,-0.366,-0.183
0.757,0.072,0.658,0.427,0.000,0.305
0.758,0.071,0.660,0.183,0.061,0.610
0.758,0.074,0.658,0.061,0.183,0.000
0.761,0.072,0.663,-0.061,0.000,-0.183
0.758,0.074,0.654,0.000,0.610,-0.244
0.757,0.066,0.657,-0.061,0.305,-0.671
0.755,0.065,0.658,0.488,-0.732,-0.305
0.755,0.070,0.657,-0.061,0.549,0.244
0.760,0.071,0.659,0.244,0.061,0.122
0.760,0.073,0.658,0.244,0.244,-0.183
0.760,0.070,0.660,-0.122,0.305,-0.305
0.757,0.068,0.663,0.305,0.000,-0.122
0.757,0.065,0.656,-0.305,0.610,-0.244
0.757,0.065,0.656,0.793,-0.061,0.183
0.758,0.068,0.653,0.671,-0.122,0.244
0.757,0.066,0.665,0.916,-0.671,0.366
0.764,0.074,0.660,0.061,0.854,0.366
0.759,0.072,0.657,0.366,0.000,-0.183
0.760,0.073,0.658,0.366,0.244,0.061
0.759,0.070,0.656,0.244,0.305,-0.305
0.756,0.068,0.657,0.061,0.305,-0.427
0.756,0.060,0.654,0.366,0.305,-0.366
0.760,0.069,0.655,0.244,0.183,0.488
0.761,0.070,0.658,0.488,-0.671,-0.305
0.758,0.071,0.660,0.488,-0.122,-0.305
0.756,0.067,0.660,0.000,0.122,-0.244
0.760,0.074,0.659,0.305,0.244,0.488
0.761,0.068,0.658,0.183,0.427,-0.793
0.756,0.069,0.654,0.671,-0.427,-0.305
0.759,0.071,0.654,-0.427,0.610,-0.183
0.755,0.059,0.656,0.305,-0.244,-0.610
0.757,0.064,0.660,-0.366,0.549,0.427
0.758,0.063,0.656,0.916,-0.427,-0.183
0.759,0.068,0.655,0.061,-0.122,0.244
0.759,0.067,0.655,0.305,-0.488,-0.183
0.758,0.071,0.657,0.183,-0.183,0.488
0.761,0.071,0.662,0.244,-0.122,-0.305
0.756,0.068,0.663,-0.061,0.488,0.305
0.761,0.069,0.662,0.305,0.427,-0.427
0.756,0.063,0.649,-0.183,0.366,-0.305
0.755,0.063,0.652,0.305,-0.549,0.427
0.759,0.067,0.657,0.183,-0.061,0.305
0.759,0.068,0.665,-0.061,0.122,0.000
0.759,0.071,0.666,0.549,-0.061,0.122
0.763,0.072,0.658,-0.427,1.221,0.061
0.756,0.067,0.652,0.854,0.061,-0.549
0.759,0.066,0.651,-0.671,0.488,-0.122
