aX,aY,aZ,gX,gY,gZ
0.496,0.091,0.828,-13.855,-1.587,-11.597
0.525,0.198,0.806,-20.142,2.319,7.019
0.526,0.178,0.845,2.197,-7.935,-2.014
0.540,0.169,0.853,0.427,-1.770,-3.235

0.516,0.207,0.816,6.042,2.380,0.732
0.530,0.206,0.808,6.958,2.075,0.732
0.548,0.206,0.838,3.357,-7.202,0.488
0.533,0.203,0.823,15.015,-4.761,4.761
0.525,0.193,0.813,16.052,6.531,8.118
0.562,0.185,0.782,19.409,5.920,8.667
0.538,0.188,0.834,21.667,-1.221,10.925
0.505,0.166,0.862,18.311,-2.380,8.362
0.535,0.179,0.791,4.761,-8.301,4.639
0.544,0.159,0.737,19.775,3.967,16.479
0.526,0.146,0.840,35.706,4.517,24.353
0.562,0.139,0.885,50.415,4.089,26.245
0.591,0.146,0.826,61.340,8.362,26.794
0.527,0.172,0.944,70.435,5.310,13.062
0.484,0.209,1.044,41.748,7.080,-39.978
0.487,0.076,0.864,-3.601,6.714,-101.685
0.533,-0.341,0.643,20.264,-59.998,-71.472
0.340,-0.023,0.979,70.374,-56.763,32.776
0.735,-0.046,0.820,-4.517,-18.188,22.461
0.516,-0.193,0.941,-29.907,-59.753,-13.000
0.553,-0.195,0.924,-36.987,-97.046,-18.311
0.776,0.308,1.091,-136.475,-43.213,109.131
0.663,-0.235,1.276,-200.806,-73.364,169.800
0.694,0.185,0.972,-105.896,-40.894,133.972
0.511,0.006,1.132,-96.619,-72.388,60.059
0.371,0.162,1.666,-80.078,-57.678,73.303
0.265,0.402,1.313,-64.941,0.610,119.324
0.168,0.467,0.835,-130.920,8.057,109.253
0.183,0.792,0.772,-179.016,26.855,89.172
0.155,0.900,0.803,-130.188,48.706,49.438
0.096,0.840,0.769,-115.601,74.280,42.847
-0.089,1.169,0.745,-106.506,96.924,53.589
-0.009,1.339,0.775,-37.354,101.318,-19.592
-0.065,1.226,0.832,-43.457,81.421,-87.646
-0.062,1.183,0.666,-95.093,77.332,-90.271
0.028,1.080,0.656,-109.436,87.402,-123.779
0.055,0.842,0.429,-81.848,112.488,-160.583
0.068,0.856,0.303,-84.717,113.342,-154.724
0.151,0.749,0.100,-104.614,81.909,-115.173
0.274,0.689,0.157,-114.319,46.875,-100.891
0.367,0.695,0.234,-97.290,39.978,-109.131
0.303,0.727,0.173,-101.501,36.011,-112.854
0.229,0.624,0.036,-116.760,1.770,-78.491
0.373,0.533,0.036,-108.398,-27.039,-75.439
0.388,0.525,0.083,-96.008,-20.081,-84.412
0.387,0.492,0.050,-73.914,-39.124,-98.511
0.379,0.367,0.043,-58.289,-73.547,-107.483
0.356,0.283,0.076,-50.110,-87.341,-99.609
0.363,0.199,0.114,-25.513,-83.740,-108.521
0.408,0.021,0.109,10.925,-71.533,-121.277
0.446,-0.116,0.096,14.465,-78.613,-94.666
0.465,-0.068,0.125,-16.113,-127.441,-45.776
0.591,-0.217,0.296,-20.203,-137.085,-38.513
0.572,-0.220,0.299,-9.827,-131.226,-30.334
0.510,-0.212,0.466,-30.823,-150.635,-7.019
0.709,-0.074,0.751,-20.325,-154.053,17.212
0.743,-0.075,0.791,-14.648,-142.334,12.390
0.600,-0.023,0.698,-5.005,-137.695,11.902
0.614,-0.106,0.800,12.573,-149.902,7.874
0.694,-0.071,1.074,36.438,-133.911,21.545
0.643,-0.210,0.967,45.471,-92.285,20.630
0.441,-0.247,0.953,14.465,-85.510,46.326
0.575,-0.108,1.156,40.833,-92.590,58.655
0.571,-0.131,1.167,56.274,-82.031,43.457
0.393,-0.037,1.159,34.607,-71.594,60.120
0.479,0.057,1.151,45.410,-69.458,79.529
0.450,0.062,1.194,40.588,-101.746,75.928
0.328,0.065,1.288,52.490,-89.294,50.537
0.340,0.049,1.263,45.715,-56.152,79.651
0.351,0.010,1.275,29.236,-43.701,68.176
0.252,-0.060,1.181,14.038,-42.114,82.458
0.223,-0.023,1.184,32.288,-27.283,71.350
0.232,0.090,1.268,25.452,8.484,72.327
0.180,0.065,1.249,3.906,-3.906,63.232
0.116,0.136,1.155,-5.432,20.264,92.529
0.197,0.337,1.266,14.832,22.400,78.064
0.182,0.335,1.222,0.549,34.180,49.316
0.156,0.247,1.097,-9.338,27.954,47.729
0.180,0.286,1.045,1.343,30.701,50.720
0.167,0.318,1.023,10.620,25.085,46.570
0.201,0.292,1.033,-4.761,19.958,34.973
0.184,0.239,1.013,-14.648,35.645,35.583
0.167,0.310,0.931,-13.306,31.921,33.020
0.197,0.363,0.969,-30.396,19.958,32.349
0.196,0.391,1.000,-19.714,29.236,26.917
0.184,0.320,0.925,-0.488,22.949,19.409
0.218,0.250,0.911,3.540,22.278,15.381
0.215,0.266,0.874,-5.493,26.123,13.733
0.263,0.178,0.870,-21.057,15.991,12.085
0.301,0.119,0.918,-13.062,6.226,23.804
0.305,0.206,1.005,-5.615,4.089,28.870
0.306,0.244,0.992,-9.094,16.724,25.269
0.316,0.247,0.931,-20.203,15.076,27.161
0.323,0.289,0.977,-15.442,18.188,32.166
0.306,0.341,0.973,-13.123,22.522,28.564
0.296,0.370,0.924,-15.991,23.926,20.935
0.281,0.374,0.874,-25.940,19.287,19.409
0.255,0.388,0.863,-24.414,20.874,19.470
0.250,0.424,0.857,-14.954,21.301,9.949
0.239,0.406,0.797,-11.047,20.447,0.977
0.247,0.361,0.765,-1.831,18.066,-3.174
0.248,0.376,0.739,2.930,9.094,-5.615
0.250,0.389,0.748,-5.859,0.977,-5.127
0.296,0.328,0.775,-3.906,0.244,-5.493
0.327,0.320,0.799,7.446,4.395,-8.484
0.250,0.360,0.768,12.573,-2.747,5.188
0.354,0.350,0.826,10.864,-10.254,25.818
0.381,0.402,0.902,8.789,-3.418,30.823
0.308,0.386,0.863,10.803,-14.160,26.794
0.377,0.352,0.884,13.184,-14.221,27.588
0.302,0.353,0.883,10.254,-28.809,10.864
0.299,0.337,0.884,7.080,-30.762,10.620
0.340,0.301,0.912,5.615,-27.405,8.423
0.292,0.307,0.950,2.930,-20.752,8.362
0.223,0.323,0.922,-12.329,-26.306,29.541
