aX,aY,aZ,gX,gY,gZ
0.818,0.266,0.530,-0.854,2.380,-9.216
0.831,0.249,0.513,1.648,5.188,-7.629
0.825,0.238,0.529,2.991,6.470,-4.822

0.812,0.232,0.557,-0.305,-1.038,0.244
0.814,0.229,0.557,-1.709,-0.977,-0.732
0.813,0.227,0.547,-1.892,0.854,-0.488
0.807,0.233,0.547,-2.808,0.366,0.366
0.809,0.233,0.547,-2.808,-0.122,-0.061
0.804,0.238,0.535,-2.747,1.526,0.671
0.816,0.237,0.535,-1.343,0.977,-0.793
0.822,0.230,0.538,-0.488,1.526,-0.610
0.824,0.226,0.545,0.732,1.526,1.892
0.806,0.243,0.552,0.305,1.648,2.930
0.800,0.251,0.549,0.061,1.404,0.732
0.818,0.241,0.548,-0.244,-0.732,-0.610
0.815,0.245,0.540,0.244,0.427,1.160
0.808,0.250,0.532,-0.305,2.136,2.136
0.800,0.258,0.511,1.160,2.075,-0.244
0.818,0.249,0.519,2.930,-0.183,-0.732
0.815,0.246,0.522,3.418,1.831,-1.953
0.828,0.220,0.536,3.479,0.061,-2.075
0.812,0.230,0.538,3.723,1.465,-0.244
0.811,0.237,0.536,4.456,3.174,-1.099
0.806,0.260,0.529,3.723,1.770,-1.770
0.802,0.282,0.526,6.836,3.052,-5.249
0.829,0.281,0.540,8.850,-0.488,-7.080
0.874,0.312,0.562,11.047,-7.507,-7.324
0.902,0.340,0.607,14.587,-13.428,-7.446
0.912,0.340,0.625,17.944,-20.142,-4.456
0.871,0.408,0.648,16.907,-24.048,-0.671
0.837,0.497,0.651,15.015,-22.339,-3.540
0.832,0.585,0.661,15.625,-29.846,-8.545
0.925,0.682,0.683,11.353,-62.988,-13.306
0.931,0.759,0.766,21.729,-88.135,-3.845
0.834,0.846,0.744,32.532,-80.444,-1.282
0.798,1.017,0.698,49.561,-65.430,-18.555
0.798,1.050,0.689,56.702,-85.754,-52.246
0.649,0.932,0.746,49.622,-118.835,-66.589
0.233,0.590,0.677,53.223,-83.740,-88.928
-0.100,0.108,0.306,27.832,-73.059,-142.151
-0.350,-0.659,0.061,36.865,-109.863,-185.181
-0.433,-1.325,0.060,62.317,-136.658,-196.472
-0.311,-2.071,0.350,101.868,-166.992,-220.703
0.256,-2.077,0.850,188.049,-80.139,-212.097
1.100,-1.556,0.986,84.839,55.908,-67.200
0.303,-0.954,0.916,3.052,24.353,73.914
-0.473,-0.384,1.103,-24.536,-33.691,41.626
-0.419,-0.130,0.838,-13.428,-1.831,-4.089
0.092,-0.415,0.784,20.203,-16.235,-36.865
0.226,-0.576,1.072,24.963,-17.151,-23.560
0.220,-0.552,1.007,-1.953,12.390,-1.160
0.286,-0.516,0.736,0.122,25.635,-5.005
0.215,-0.508,0.842,11.169,-2.319,-6.226
0.118,-0.484,0.899,-0.061,-0.488,-9.766
0.209,-0.505,0.792,-1.282,9.827,-9.277
0.216,-0.540,0.822,9.888,14.954,-6.470
0.230,-0.576,0.898,17.212,16.907,-1.160
0.260,-0.560,0.903,10.254,24.048,4.456
0.304,-0.621,0.907,0.061,8.728,3.906
0.285,-0.632,0.911,1.831,10.254,19.775
0.252,-0.651,0.838,7.568,26.306,30.762
0.247,-0.604,0.788,18.372,37.720,43.335
0.207,-0.590,0.799,12.939,28.076,53.406
0.180,-0.600,0.726,15.381,21.667,50.415
0.283,-0.713,0.652,31.860,25.208,45.654
0.340,-0.741,0.733,11.108,11.719,71.838
0.252,-0.815,0.710,-11.536,0.793,88.318
0.315,-0.748,0.692,-1.282,17.273,99.792
0.358,-0.630,0.620,-2.014,39.307,109.192
0.353,-0.621,0.647,-46.753,31.311,104.309
0.386,-0.437,0.718,-58.472,40.833,106.628
0.365,-0.130,0.607,-47.485,80.994,110.596
0.388,-0.074,0.503,-69.702,83.130,93.384
0.544,0.150,0.568,-65.552,65.430,88.745
0.578,0.196,0.584,-63.660,47.424,94.666
0.590,0.073,0.643,-82.642,25.879,63.232
0.776,0.218,0.578,-55.664,53.955,50.232
0.697,0.333,0.585,-49.927,75.012,43.945
0.778,0.250,0.530,-37.231,58.655,15.991
0.840,0.302,0.516,-11.597,54.626,26.489
0.818,0.314,0.500,-14.221,71.411,30.884
0.844,0.333,0.529,-25.574,65.063,29.236
0.841,0.395,0.489,-28.870,48.035,14.465
0.877,0.401,0.562,-0.916,47.058,7.263
0.928,0.478,0.620,-0.183,45.776,13.672
1.069,0.582,0.567,3.357,48.950,-2.380
1.304,0.654,0.620,44.922,45.471,-13.611
1.230,0.388,0.649,32.959,13.672,11.841
0.991,0.138,0.494,0.244,1.831,18.311
0.938,0.072,0.355,5.981,10.559,13.306
0.870,0.068,0.347,15.564,8.789,12.878
0.796,0.063,0.437,11.658,-7.141,5.737
0.780,0.082,0.501,-2.075,-30.701,2.136
0.819,0.112,0.503,-10.437,-28.870,0.122
0.840,0.133,0.490,-14.221,-5.310,8.362
0.859,0.168,0.467,-8.240,4.456,10.681
0.874,0.203,0.464,-3.845,2.136,5.676
0.886,0.213,0.445,-7.812,0.305,3.052
0.919,0.196,0.411,-7.996,-2.014,0.977
0.942,0.181,0.431,-8.057,-14.343,2.808
0.928,0.192,0.445,-7.202,-10.437,6.348
0.887,0.211,0.450,-4.761,-7.263,7.568
0.848,0.222,0.474,1.221,-5.859,7.629
0.843,0.211,0.489,2.075,-5.981,4.578
0.822,0.220,0.506,-2.197,-6.897,5.066
0.800,0.234,0.503,-3.784,-5.127,0.732
0.846,0.207,0.478,-4.700,-6.592,-3.235
0.894,0.188,0.480,-5.920,-11.963,-2.625
0.897,0.206,0.477,-6.653,-10.498,0.854
0.866,0.220,0.474,-2.258,-1.526,5.249
0.832,0.223,0.484,-1.099,-2.258,4.272
0.806,0.230,0.487,-0.671,-6.165,3.418
0.815,0.223,0.484,-1.587,-5.188,0.366
0.837,0.218,0.488,-2.625,-6.775,-2.930
0.842,0.210,0.493,0.427,-4.822,-1.099
0.842,0.222,0.512,0.061,-3.479,-0.977
0.852,0.223,0.505,-2.502,-5.554,-1.831
0.857,0.208,0.505,-0.183,-3.479,-0.793
0.854,0.206,0.511,1.404,0.000,0.122
0.845,0.218,0.516,-0.366,-2.625,2.930
0.829,0.221,0.523,3.174,-2.625,3.784
0.824,0.217,0.524,-1.465,-0.122,1.343
0.836,0.215,0.499,-3.784,-1.709,0.183
0.839,0.225,0.502,-2.747,-3.113,-0.732
0.841,0.233,0.515,-2.075,-3.845,-1.648
0.846,0.224,0.507,-1.770,-1.770,-0.854
0.836,0.228,0.507,-0.610,-0.732,1.282
0.815,0.232,0.510,-1.160,-0.610,0.916

0.838,0.210,0.523,0.183,0.305,-0.122
0.836,0.206,0.532,0.061,-0.671,-0.549
0.838,0.211,0.527,-0.977,0.793,0.488
0.829,0.228,0.517,-1.831,1.099,0.732
0.839,0.222,0.515,-2.075,-0.061,-0.732
0.853,0.216,0.499,-0.610,0.671,-0.427
0.849,0.216,0.505,-0.671,-1.526,0.061
0.837,0.221,0.509,0.000,-2.441,0.916
0.846,0.211,0.513,0.427,-2.014,0.122
0.818,0.227,0.526,0.061,-3.296,0.549
0.806,0.237,0.518,0.549,-0.488,-0.793
0.808,0.263,0.522,1.953,0.610,-3.235
0.841,0.322,0.526,5.432,0.427,-5.554
0.941,0.405,0.598,12.512,-3.235,-9.949
1.117,0.521,0.749,14.893,-31.738,-16.113
1.196,0.714,0.865,21.301,-46.570,-7.935
1.098,0.865,0.758,20.935,-32.837,11.841
0.866,0.938,0.679,9.583,-63.660,9.338
0.714,0.981,0.674,10.132,-119.751,-29.053
0.650,0.983,0.654,56.396,-103.699,-51.453
0.536,0.876,0.692,84.839,-87.585,-76.843
0.477,0.831,0.802,78.796,-85.876,-95.398
0.255,0.654,0.690,37.842,-82.397,-131.592
0.070,0.240,0.533,37.415,-58.777,-149.536
-0.270,-0.478,0.232,21.851,-32.837,-157.166
-0.425,-1.159,-0.084,1.526,-111.145,-206.787
-0.232,-1.909,0.115,79.224,-154.907,-273.926
0.412,-2.113,0.883,138.855,-99.792,-244.263
